Job title,Company name,Date,Location,Skills,Links,Salary,Requirements
Senior Full Stack Developer,Confidential -,7 days ago,"Cairo, Egypt ",Full timeWork from homeExperienced · 4+ Yrs of Exp · Angular · .NET · React · Agile · machine learning · Python · video processing · Information Technology (IT) · Computer Science · Software Development,https://wuzzuf.net/jobs/p/TqNArigQPjRD-Senior-Full-Stack-Developer-Cairo-Egypt?o=26&l=sp&t=sj&a=python|search-v3|hpb,Confidential,"4+ years of software development and shipping of consumer-facing features.| Experience with continuous integration processes and configuration management tools.| Experience working with Agile/Scrum methods.| Web development with Angular, React, or Typescript.| Experience with .Net/C#.| Experience with cloud platforms such as Azure or AWS.| Solid knowledge of SQL and NoSQL database technologies.| Ability to prioritize and handle multiple tasks independently.| Ability to work and collaborate with remote teams."
Senior .NET Full Stack Developer,Excel Systems  ,1 month ago,"Sheikh Zayed, Giza, Egypt ",Full timeExperienced · 4 - 6 Yrs of Exp · ASP.NET · ADO.NET · C#.Net · .NET · .NEt Full Stack Developer · Full Stack Developer · java · Python · HTML · react,https://wuzzuf.net/jobs/p/vPBIay523R4O-Senior-NET-Full-Stack-Developer-Excel-Systems-Giza-Egypt?o=27&l=sp&t=sj&a=python|search-v3|hpb,"Confidential, Medical Insurances + Social Insurances + Bonus","Proven experience “4 years minimum” as a Full Stack Developer or similar role| Proficiency with fundamental front end languages such as HTML, CSS and JavaScript.| Knowledge of multiple back-end languages (e.g. C#, Java, Python) and JavaScript frameworks (e.g. Angular, React, Node.js) with professionalism in C# is a MUST| Familiarity with database technology such as MS SQL, MySQL, Oracle and MongoDB.| Familiarity with web servers (e.g. IIS , Apache) and UI/UX design.| Excellent communication and teamwork skills| Great attention to detail| Organizational skills| An analytical mind| Males only."
Devops Engineer,ExaServe LLC,1 month ago,"Nasr City, Cairo, Egypt ",Full timeExperienced · 3+ Yrs of Exp · Python · DevOps · Ansible · Linux · Bash · Docker · AWS · Cloud · Automation · Software Development,https://wuzzuf.net/jobs/p/Y0mBlLY5XVpU-Devops-Engineer-ExaServe-LLC-Cairo-Egypt?o=28&l=sp&t=sj&a=python|search-v3|hpb,Confidential,"+3 years of experience_in the IT and Cloud services and models (Public/Private/Hybrid).| Deep technical skills and significant experience of administering various OS distro of Linux/Windows| Experience with virtualization technologies| Experience with Bash scripting language and (Perl or Python)| Good Knowledge of Storage technology in regards to data integrity, and IO performance| Experience with performance tuning and diagnosing system bottlenecks through root cause analysis| Solid knowledge about Backup and Disaster Recovery policies and best practices.| Experienced with the DevOps philosophy, practices, and tools.| Experienced with configuration management and automation tools Ansible, Puppet, Chef| Experienced with the orchestration of Docker containers running on Kubernetes| Migrate workload/services data from/to the cloud.| Solid understanding of storage and networking concepts: VNets and VPN, High availability, Load Balancing, Fault tolerance."
Senior Computer Vision / Deep Learning Engineer,Master Linux,16 days ago,"Heliopolis, Cairo, Egypt ",Full timeExperienced · 4+ Yrs of Exp · Information Technology (IT) · Computer Science · Computer Vision · Deep Learning · Software Engineering · CNN · ML/CV · Tensorflow · Pytorch · NLP,https://wuzzuf.net/jobs/p/rZr1NCAx5eal-Senior-Computer-Vision-Deep-Learning-Engineer-Master-Linux-Cairo-Egypt?o=29&l=sp&t=sj&a=python|search-v3|hpb,Confidential,"4+ experience and deep learning solutions development| Ideally, experience with ML/CV solutions for image-to-image translation, humans pose detection, 3D reconstruction or computer vision applications| Experience with deep learning frameworks (Tensorflow, Pytorch, etc.)| Solid experience with data sets creation, management and augmenting; understanding problems associated with data for models’ training| Strong Python programming skills| NLP Experience is a very added value.| BS or MS degree in Computer Science, Math or Physics"
Lead Java Developer,Infinity Business Solutions,9 days ago,"Basatin, Cairo, Egypt ",Full timeManager · 5+ Yrs of Exp · Java · Computer Science · Information Technology (IT) · Software Development · Software · Engineering · Computer Engineering · Docker · Python · AWS,https://wuzzuf.net/jobs/p/ipMSk0OWcoFU-Lead-Java-Developer-Infinity-Business-Solutions-Cairo-Egypt?o=30&l=sp&t=sj&a=python|search-v3|hpb,Confidential,"A Bachelor's Degree in Computer Science, Computer Engineering, or a related discipline, or a combination of work experience and education.| A total of 5 years of experience in Full Stack designing and developing software solutions. | 3+ years of hands-on production code development experience in Java or C# on a scalable, commercial product.| 3+ years of responsibility for architecture as a Designer.| 3+ years of experience in cloud infrastructure.| Ability to develop infrastructure-focused solutions for AWS/GCP/Azure.| Skilled at building data-intensive software in the cloud.| Deep familiarity with cloud platforms such as AWS, Azure or Google.| Experience in containerization, Docker and Kubernetes, Python | Delivered solutions to enterprise clients. | Excellent communication skills in written and spoken English, and the ability to identify and articulate patterns in unstructured and unorganized content."
Senior IoT Engineer,Spectro,7 days ago,"Maadi, Cairo, Egypt ",Full timeExperienced · 5+ Yrs of Exp · Computer Science · Information Technology (IT) · IoT · Python · Embedded · IT/Software Development · Engineering - Telecom/Technology,https://wuzzuf.net/jobs/p/lHkHReGuAphZ-Senior-IoT-Engineer-Spectro-Cairo-Egypt?o=31&l=sp&t=sj&a=python|search-v3|hpb,Confidential,"Bachelors in engineering, preferably Electrical/Electronics from an accredited institution.| 5+ years of progressive hands-on experience in hardware design and firmware development.| Solid ability to design analog and digital electronics.| Proficiency in Embedded C/C++ and Python.| Experience working with wireless communication, especially for WiFi and BLE."
Full Stack Web Developer,Heliopolis University,3 hours ago,"Salam City, Cairo, Egypt ",Full timeExperienced · 2 - 3 Yrs of Exp · javaScript · English · Software Development · Information Technology (IT) · Computer Science · PHP · Angular · MySQL · SQL · .NET,https://wuzzuf.net/jobs/p/jwCQZBwJyDGn-Full-Stack-Web-Developer-Heliopolis-University-Cairo-Egypt?o=32&l=sp&t=sj&a=python|search-v3|hpb,Confidential,"Expertise in front-end technologies, including JavaScript, CSS3 and HTML5 and third-party libraries such as React Js , Angular.| Development languages: Knowledge of server-side programming languages including PhP,.Net and Python.| Familiarity with DBMS technology, including SQL Server ,MYSQL, Oracle.| Experience: 2:3 years.| Good command in English."
Back End Developer,Confidential -,3 days ago,"Nasr City, Cairo, Egypt ",Full timeExperienced · 3 - 5 Yrs of Exp · Information Technology (IT) · Python · NoSQL · Computer Science · Development · Mongo · Redis · Software Development · API · Software Engineering,https://wuzzuf.net/jobs/p/l9lQWFbO77r7-Back-End-Developer-Cairo-Egypt?o=33&l=sp&t=sj&a=python|search-v3|hpb,Confidential,"BS or Graduate degree in Computer Science or Engineering| Python Flask, Python Profiling| Expert in CI using Jenkins| Good experience in RestAPI development, Elastic Search, Redis, AWS SQS| Expert in NoSQL DB: Mongo DB| Experienced in the development of Big Data platforms"
SOC Analyst,Etisalat Misr,7 days ago,"Cairo, Egypt ",Full timeExperienced · 2 - 5 Yrs of Exp · Information Technology (IT) · SOC · Computer Science · C++ · Cyber Security · Engineering · SIEM · NIST · TCP/IP · Python,https://wuzzuf.net/jobs/p/zyzWMLao6qOZ-SOC-Analyst-Etisalat-Misr-Cairo-Egypt?o=34&l=sp&t=sj&a=python|search-v3|hpb,Confidential,"University Degree in:  BSC in Communication Engineering, Computer Engineering or Computer science.| Familiarity with the risk management framework NIST 800-37.| Familiarity with security controls as described in NIST 800- 35.| Experience with analysis and inspection of log information, packets, and other security tool information output from a variety of sources.| Excellent analytical and problem solving skills.| Knowledge of packet capture and analysis.| Strong interpersonal skills to interact with team members and upper management.| Strong collaborative skills.| Self-discipline to work according to playbook and time requirements.| Passion for cyber security and staying up-to-date with current threats, tools and techniques.| Willingness to learn new security technologies, products and incident analysis and response approaches.| Excellent written and oral communication skills.| Hands-on experience with some or all of the following is preferred:| Windows, Linux and Cisco operating systems.| Net Flow and full packet capture technology.| ntrusion Detection Systems (IDS) and SIEM technologies.| Firewalls, antivirus and other similar network security tools.| Fundamental understanding of:| Information security and Network Security Monitoring.| Computer networking (TCP/IP).| Cyber Security Incident Response, client-side and server-side attack chain and modern malware threats.| Knowledge and experience with scripting and programming (Python, PERL, etc.) is highly preferred.| Ability to prioritize tasks."
Odoo Developer,Neusoft,10 days ago,"Nasr City, Cairo, Egypt ",Full timeExperienced · 2 - 4 Yrs of Exp · Computer Science · Information Technology (IT) · Odoo · Python · Software Development · Engineering · ERP · HTML · javaScript · XML,https://wuzzuf.net/jobs/p/FZFQeKZ0A88m-Odoo-Developer-Neusoft-Cairo-Egypt?o=35&l=sp&t=sj&a=python|search-v3|hpb,Confidential,"Bachelor's degree in Computer Science, or any related discipline.| 2-4 years of Odoo development expertise is a must. The job involves customization of Odoo, an ERP platform written in Python.| Demonstrated expertise with Postgres database design and optimization| Odoo ERP on-premise architecture| JavaScript, HTML, CSS XML| Knowledge of best engineering practices in agile software development: architectural paradigms, code reviews, branching, task management, documentation, testing| Excellent written and verbal communication skills| Experience in REST & API practices"
